run_id,method,map_id,workload,n_agents,seed,selector_seed,event_delay,guidance_scale,horizon,completed,throughput,post_shift_completed_100,post_shift_throughput_100,post_shift_wait_rate_100,stale_fraction_auc,version_lag_auc,repair_event_count,repair_rebind_count,unique_field_build_count,new_task_rebind_count,new_task_unique_field_build_count,guidance_generation_seconds,exposure_seconds,repair_field_build_seconds,new_task_field_build_seconds,executor_seconds,wall_time_seconds,collision_count,deadlocked,trace_hash,task_tape_hash
d884a248c371d2c7,random_10,two_corridor,abrupt,24,202,4307,0,2.0,400,153,0.3825,68,0.68,0.15,0.061767169179229475,0.061767169179229475,1,3,3,153,84,0.000111375,0.000148833,0.000325166,0.009083581000000004,0.019700716000000017,0.031944375,0,False,574315378c06537c,e2f8b3772fa48062
545d57e96325e204,random_25,two_corridor,abrupt,24,202,1701,0,2.0,400,117,0.2925,34,0.34,0.1575,0.056532663316582916,0.056532663316582916,1,6,5,117,70,0.000113291,0.000149041,0.0005180829999999999,0.007423257999999999,0.02149417400000002,0.03222475,0,False,84073bdec99bb477,e2f8b3772fa48062
fa70aeacb3175253,random_25,two_corridor,abrupt,24,202,2903,0,2.0,400,131,0.3275,51,0.51,0.1475,0.059254606365159126,0.059254606365159126,1,6,6,131,76,0.000124375,0.000151541,0.000639375,0.008334463999999998,0.020156211000000007,0.032066625,0,False,95bc2e23dbad9ba4,e2f8b3772fa48062
cb405e9318e3bc3a,random_25,two_corridor,abrupt,24,202,4307,0,2.0,400,119,0.2975,41,0.41,0.18875,0.05108877721943048,0.05108877721943048,1,6,5,119,69,0.000113,0.000149708,0.000599583,0.007394502000000001,0.01933533200000001,0.030174542,0,False,36843692aab0a6b9,e2f8b3772fa48062
acae091f64e9c33f,top_10,two_corridor,abrupt,24,202,0,0,2.0,400,128,0.32,58,0.58,0.14708333333333334,0.07077051926298157,0.07077051926298157,1,3,3,128,74,0.000101875,0.000151875,0.00031841599999999997,0.007957338000000001,0.019487008000000004,0.0305225,0,False,0f9231e6fcfd4ec8,e2f8b3772fa48062
659039b80407ff6d,top_25,two_corridor,abrupt,24,202,0,0,2.0,400,91,0.2275,42,0.42,0.20208333333333334,0.04794807370184254,0.04794807370184254,1,6,5,91,58,0.000104083,0.000146208,0.000527083,0.0061159579999999995,0.019455411999999984,0.028837708,0,False,93a8137739d7b1be,e2f8b3772fa48062
8501a2510fff8677,repair_all,two_corridor,abrupt,24,202,0,0,2.0,400,112,0.28,31,0.31,0.15166666666666667,0.0,0.0,1,23,21,112,66,0.00011225,0.000155542,0.002212081,0.007035916,0.019866626000000016,0.031977791,0,False,efb1e830aa189c36,e2f8b3772fa48062
5fbba5b8f294cbf4,no_update,two_corridor,abrupt,24,203,0,0,2.0,400,138,0.345,29,0.29,0.19791666666666666,0.0,0.0,0,0,0,138,89,0.0,0.0,0.0,0.009485753000000001,0.019696986999999992,0.031664875,0,False,250742158f312e54,7ac28b9cf7a2ebd9
663787385a3dfa65,lazy_0,two_corridor,abrupt,24,203,0,0,2.0,400,149,0.3725,34,0.34,0.15625,0.21568627450980393,0.21568627450980393,1,0,0,149,94,0.000110583,0.000207041,0.0,0.010119586000000002,0.01956646899999999,0.032496958,0,False,e8031c262514209c,7ac28b9cf7a2ebd9
e9322e59940c6b4c,random_10,two_corridor,abrupt,24,203,1701,0,2.0,400,108,0.27,30,0.3,0.13125,0.4293300653594771,0.4293300653594771,1,3,3,108,75,0.000112833,0.000211875,0.000319959,0.007987044999999998,0.019054697000000002,0.030153959,0,False,ed9624a501047849,7ac28b9cf7a2ebd9
